method,seed,macro_f1,micro_f1,time_min
Centralized,0,0.1171993911719939,0.43434659981197116,4.606198954582214
Centralized,1,0.11926298157453936,0.4368098159509202,4.269311352570852
Centralized,2,0.12097042206713193,0.4481378885811019,4.305467677116394
Centralized,3,0.11997991967871485,0.4381301558203483,4.289968955516815
Centralized,4,0.11893501488877212,0.42947501581277675,4.296006691455841
FedAvg,0,0.16421224455938901,0.4587706146926537,4.4726714809735615
FedAvg,1,0.18200047442813502,0.4616196254286468,4.471524063746134
FedAvg,2,0.20697958485777157,0.43808193668528866,4.436092011133829
FedAvg,3,0.17123629178767022,0.42834479111581175,4.4744584600130715
FedAvg,4,0.03729665759429429,0.08014911463187326,4.446098212401072
FedAvg+Clip,0,0.14660299340573218,0.44371059741819274,4.717377877235412
FedAvg+Clip,1,0.018747082166199813,0.024142926122646065,4.723516809940338
FedAvg+Clip,2,0.12154533062107443,0.44684129429892144,4.755624886353811
FedAvg+Clip,3,0.21575560516159387,0.36457793889176593,4.75945820013682
FedAvg+Clip,4,0.06758186562296152,0.12762312633832976,4.784889566898346
FedAvg+Clip+Noise,0,0.05903744298532842,0.07972270363951472,4.754415651162465
FedAvg+Clip+Noise,1,0.34325098311774366,0.43476184791691536,4.698667848110199
FedAvg+Clip+Noise,2,0.22324558517843038,0.4128787878787879,4.736586121718089
FedAvg+Clip+Noise,3,0.14807696569862366,0.3225098727512067,4.7537775119145715
FedAvg+Clip+Noise,4,0.23132379306425674,0.35186230248307,4.713665783405304
