round,val_macro_f1,val_micro_f1,test_macro_f1,test_micro_f1,chn_macro_f1,deu_macro_f1,eng_macro_f1,esp_macro_f1,hin_macro_f1,elapsed_sec,cross_lingual_gap,epsilon,timestamp
1,0.5161,0.5313,0.5117,0.5222,0.3314,0.2518,0.3857,0.5715,0.5462,425.1,0.3197,,
2,0.7022,0.7056,0.7072,0.7123,0.6202,0.5077,0.6219,0.7561,0.7909,423.7,0.2832,,
3,0.7326,0.7361,0.7339,0.7379,0.6707,0.547,0.6742,0.7856,0.804,423.2,0.257,,
4,0.7518,0.7546,0.753,0.7567,0.6849,0.564,0.6946,0.8012,0.8335,421.6,0.2695000000000001,,
5,0.7632,0.7668,0.7649,0.7684,0.7229,0.6174,0.7007,0.8047,0.8389,432.7,0.22150000000000003,,
6,0.7676,0.77,0.7687,0.7718,0.7163,0.6337,0.7161,0.812,0.8453,421.1,0.2116,,
7,0.7774,0.7817,0.7777,0.7815,0.7312,0.6554,0.7192,0.8164,0.8555,429.8,0.20010000000000006,,
8,0.7818,0.7845,0.785,0.7869,0.7193,0.655,0.7336,0.8319,0.8574,427.6,0.20240000000000002,,
9,0.7909,0.7938,0.7916,0.7935,0.7401,0.6772,0.739,0.8274,0.8597,428.1,0.1825,,
10,0.7935,0.7967,0.7993,0.8019,0.745,0.6921,0.7487,0.8369,0.8656,428.1,0.1735,,
