round,val_macro_f1,val_micro_f1,test_macro_f1,test_micro_f1,epsilon,elapsed_sec,timestamp,eng_macro_f1,hin_macro_f1,deu_macro_f1,esp_macro_f1,chn_macro_f1,cross_lingual_gap
1,0.3593,0.4014,0.3469,0.3845,,,2026-09-25T04:26:55.118650,0.29037069998783466,0.20733256543051737,0.12967983197384358,0.41452591168505065,0.20478566183639804,0.28484607971120707
2,0.6928,0.6972,0.698,0.7025,,,2026-09-25T04:34:34.705743,0.588455838521329,0.786333130554565,0.4593131500794957,0.7671600498831621,0.6033929543337375,0.3270199804750693
3,0.7308,0.7357,0.7385,0.7422,,,2026-09-25T04:42:11.390209,0.6568908952202083,0.82904733661024,0.5413475413475413,0.7947539811674784,0.6801690259030083,0.28769979526269873
4,0.7432,0.7471,0.7521,0.756,,,2026-09-25T04:49:49.754068,0.6824818022923755,0.8483317831527701,0.5737905543782797,0.7962763978543235,0.7066712163508686,0.2745412287744904
5,0.753,0.7565,0.7613,0.7635,,,2026-09-25T04:57:27.147364,0.7025612392090688,0.8504881283296519,0.6090326695674734,0.8093745535500878,0.6989282130661769,0.24145545876217855
6,0.7683,0.7712,0.7735,0.7765,,,2026-09-25T05:05:06.861973,0.7192068382944518,0.849071755783984,0.6235360525414799,0.8195309582179859,0.7227891979357798,0.22553570324250405
7,0.7692,0.7716,0.7762,0.7784,,,2026-09-25T05:12:50.721914,0.7163331007528029,0.8566991358296482,0.6340848150602949,0.8199401116457622,0.7341046541978189,0.22261432076935328
8,0.7774,0.7809,0.7854,0.7878,,,2026-09-25T05:20:36.560643,0.7322298865231012,0.8517458854579235,0.656167071916243,0.8238450706888891,0.7157810142237909,0.1955788135416805
9,0.7903,0.7932,0.7967,0.7987,,,2026-09-25T05:28:25.050280,0.7514599882218564,0.8690979564621415,0.6627212047723525,0.8337261827716688,0.7434744862865645,0.20637675168978897
10,0.7949,0.7974,0.7974,0.7991,,,2026-09-25T05:36:07.656725,0.7580287809752689,0.8629890035957051,0.6729212226556045,0.8353009018386185,0.7515926633322507,0.19006778094010057
